sg,sgNumber,cleaned_formula
P b a m,55.0,Nd2Cu2O5
C m c a,64.0,NbCoTe2
P m n a,53.0,NbFeTe2
P m -3 m,221.0,Ba6Co25S27
P 42/m b c,135.0,Sr2GeN2
C m c m,63.0,Ca3CrN3
P b a m,55.0,Ta4SiTe4
C m c m,63.0,MnTl2H4OF5
C m c m,63.0,MnTl2H4OF5
P m c 21,26.0,Ba6Mn4Si12Cl3O34
P m c 21,26.0,Ba6Fe5Si11Cl3O34
I 41/a :2,88.0,Cu5H10C10S2N2Cl5
P 21 21 2,18.0,H11Au(C9N)2
P 21 21 21,19.0,ZnBH25C20(SN3)2
P b c a,61.0,NiPH8C6NO5
I -4 2 d,122.0,ZnH10(CN)12
P m n 21,31.0,KPH31C16NO6
P 21 21 21,19.0,CeCuH22C20N5O13
P 21 21 21,19.0,PrCuH22C20N5O13
P 21 21 21,19.0,EuCuH22C20N5O13
P 21 21 21,19.0,TbCuH22C20N5O13
P 21 21 21,19.0,DyCuH22C20N5O13
P 21 21 21,19.0,HoCuH22C20N5O13
P 21 21 21,19.0,TmCuH22C20N5O13
P 21 21 21,19.0,YbCuH22C20N5O13
P 21 21 21,19.0,CeNiH22C20N5O13
P 21 21 21,19.0,NdNiH22C20N5O13
P 21 21 21,19.0,EuNiH22C20N5O13
P 21 21 21,19.0,TbNiH22C20N5O13
P 21 21 21,19.0,ErNiH22C20N5O13
C m c m,63.0,MnVCuO4
P b c n,60.0,ZnH10C8(N2Cl)2
F d d 2,43.0,CdH10C8(BrN2)2
A m a 2,40.0,NaCa4(BO3)3
A m a 2,40.0,KCa4(BO3)3
A m a 2,40.0,KSr4(BO3)3
P 4/n m m :2,129.0,SrSbSe2F
C m c m,63.0,VPH4CO5
I m m m,71.0,V2P2H6C3O11
C m c m,63.0,VPH5(CO3)2
I m m m,71.0,V2P2H12C5O12
P 1 21/c 1,14.0,V3P4H24C9N2O15
P 4/n m m :2,129.0,Ce(AlPd)2
I -4 2 m,121.0,In5AgTe8
P n m a,62.0,Dy2H20C24N2O17
P 21 21 21,19.0,MnH25C18N5(ClO2)2
I -4 2 m,121.0,Co4Ag5P5C64S24N28OF60
I 4/m m m,139.0,Cs2PdI6
F m -3 m,225.0,Cs2PdI6
P 21 21 21,19.0,P3RuC18S5O9
